,499527,499529,499533,499535,499537,499539,499541,499543,499545,499547,499551,499553,499557,499559,499561,499563,499565,499567,499573,499575,499577,499581,499583,499585,499587,499589,499591,499593,499599,499601,499603,499605,499607,499611,499617,499623,499625,499627,499629,499631,499635,499637,499639,499641,499643,499645,499653,MSKC-00350,MSKC-00351,MSKC-00352,MSKC-00358,MSKC-00359,MSKC-00360,MSKC-00363,MSKC-00364,MSKC-00378,MSKC-00379,MSKC-00380,MSKC-00386,MSKC-00258,MSKC-00259,MSKC-00260,MSKC-00266,MSKC-00267,MSKC-00268,MSKC-00274,MSKC-00275,MSKC-00276,MSKC-00281,MSKC-00282,MSKC-00283,MSKC-00289,MSKC-00290,MSKC-00291,MSKC-00296,MSKC-00297,MSKC-00298,MSKC-00304,MSKC-00305,MSKC-00306,MSKC-00312,MSKC-00313,MSKC-00314,MSKC-00320,MSKC-00321,MSKC-00327,MSKC-00328,MSKC-00329,MSKC-00335,MSKC-00336,MSKC-00337,MSKC-00343,MSKC-00344,MSKC-00345,MSKC-00578,MSKC-00579,MSKC-00580,MSKC-00586,MSKC-00587,MSKC-00588,MSKC-00594,MSKC-00595,MSKC-00596,MSKC-00602,MSKC-00603,MSKC-00604,MSKC-00610,MSKC-00611,MSKC-00612,MSKC-00626,MSKC-00628,MSKC-00633,MSKC-00637,MSKC-00641,MSKC-00643,MSKC-00649,MSKC-00653,MSKC-00659,6N,1N,2N,3N,8N,9N,10N,11N,13N,41N,47N,52N,53N,55N,146N,148N,149N,213N,215N,216N,217N,231N,234N,237N,239N,240N,4N,5N,44N,48N,51N,232N,235N,12N,16N,49N,147N,214N,241N,PT-NPJ7,PT-P44H,PT-R55F,PT-RN5K,PT-UTHO,PT-WVLH,MSKC-00487,MSKC-00464,MSKC-00478,NCIA-01751,NCIA-01753,NCIA-01757,NCIA-01759,NCIA-01763,NCIA-01765,NCIA-01767,NCIA-01769,NCIA-01771,NCIA-01773,NCIA-01775,NCIA-01777,DFCI-00530,DFCI-00532,DFCI-00536,DFCI-00540,DFCI-00546,DFCI-00548,DFCI-00549,DFCI-00566,DFCI-00574,DFCI-00601,DFCI-00603,DFCI-00607,DFCI-00609,DFCI-00611,DFCI-00615,DFCI-00617,DFCI-00619,DFCI-00621,DFCI-00623,DFCI-00627,DFCI-00631,DFCI-00635,DFCI-00637,DFCI-00744,DFCI-00748,DFCI-00752,DFCI-00756,DFCI-00757,DFCI-00760,DFCI-00761,DFCI-00769,DFCI-00773,DFCI-00777,DFCI-00782,DFCI-00789,DFCI-00790,DFCI-00067-01,DFCI-00068-01,DFCI-00091-01,DFCI-00092-01,DFCI-00093-01,DFCI-00095-01,DFCI-00097-01,DFCI-00118-01,DFCI-00121-01,DFCI-00123-01
(16 or 17)-methylstearate (a19:0 or i19:0),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.895515002289,17.193466391059,17.4987562673484,16.895515002289,17.650339690711,16.895515002289,18.9201259740553,18.1862035857214,18.3557681146811,18.3262426104925,17.3871073108126,18.0112765257348,17.543524475707,17.5808536661401,17.7688095765985,17.7374770955174,17.4626436035444,17.9626098398163,17.6585954842688,17.893378169458,18.1809171601322,17.3710086435998,19.0160471435213,17.9807612610231,18.1018736686801,17.6885949821654,17.9898547332928,17.4728519032157,17.4549252907015,17.5449326755569,17.811061153598,17.4097077587131,18.9719354156224,18.4736335447176,18.2275042805773,18.0912737327739,17.4644669359836,17.8772880652722,18.0382675399458,17.7073896135217,17.8206114751214,16.895515002289,17.7362045751509,17.4987447472149,18.5045508784099,18.5452464201058,18.22590009236,17.8450195822715,18.0460374622047,17.7350980351912,18.0646187684685,18.3344754420457,18.3309288809301,18.0031560648285,17.9576459246099,18.2950557851694,18.3091505678063,18.0981172532678,18.723352705346,19.0945648919643,18.5239851321328,18.8593505047464,18.0030877370377,18.0842630853763,17.9614028377187,18.2608843281315,18.0996267044241,18.2770787339323,17.7995090987403,17.7141733243934,18.6225931030166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6395038867294,17.7349717509999,17.670851229278,19.0106186603173,17.3549544310953,17.6111716941389,17.2692114682836,17.7139281168983,17.7949754243883,17.3759809246686,16.695600825278,16.8525989993623,17.5341577569068,18.1343130996948,16.8131713201388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-adenylyladenosine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8990394512125,19.2956617076934,19.3560726319119,19.0170335135847,19.2848495653745,19.2298100406421,18.325458614828,19.1876687627348,18.7799472721882,17.2698785331743,19.012988224235,13.8990394512125,16.6113585719619,13.8990394512125,15.482850616595,18.46576291745,18.6597087828939,18.6257215672317,15.5989162074886,16.2967764540468,13.8990394512125,14.6097687151761,13.8990394512125,13.8990394512125,18.9522244095445,18.9972406127994,19.0323731424544,14.6997212911764,17.3288265302238,17.3176019881462,19.0150760773855,18.584110347644,18.9290576088926,13.8990394512125,16.0489087380168,16.763878358694,17.5352199107586,17.6467456922158,13.8990394512125,16.9097567619272,16.4816495109748,19.1582857955118,19.5450821141565,19.0915480797758,18.7125016907311,17.6743872920432,19.7260568015865,18.0985073838832,17.882263579839,17.7961984087088,18.9477911215643,16.113629922062,19.3951298587775,17.0552519949108,16.1609056293158,18.2027693033102,16.5787194896072,16.3263700660676,17.275413019267,16.9704795124824,15.7901289599843,17.1215471811698,17.8707833429586,17.7514684613998,18.4337730886327,17.7141758693451,19.0349813744171,17.3892063927922,15.5102250426806,17.6182418087685,16.8747076846556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9786658916359,15.004864365717,12.9786658916359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-adenylylcytidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9351006288544,18.0053115080942,18.4036900419717,18.6334022991594,15.3053173187938,18.3971643731643,16.5282351718126,16.3474807934421,17.518503890082,16.5035811214104,15.9790534506136,17.3335601297753,16.3270757353406,14.6699096624502,17.1167157352633,17.5682543862082,17.6893059796187,17.5606153129396,18.6519879818657,18.6826555232523,17.1239028180756,14.6175206175909,16.6321098870845,15.333624219104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-adenylyluridine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9996743671216,19.0099695518729,20.2832798316514,20.3801341080359,20.4108584530317,20.444340066019,18.1619044817191,18.4438327131925,20.5292601524305,19.9119809913604,20.2195413752865,16.8690874966496,18.1790744163713,18.1991526151011,18.0610032509469,18.9340598950917,19.4723976449597,19.6937052196115,18.1926179908845,17.8358557022009,17.2809098486955,17.6633882513027,15.6373475373024,16.9085598304273,18.7655196209573,19.1549365729059,17.9508646616368,17.6137431815586,18.2203283985927,18.9008371235923,18.615949201783,18.5758866058905,18.6122072864033,17.7263533278294,17.0164549845082,18.461601368774,18.0647482535768,18.0292580848333,18.809556957728,18.2936798172415,17.7413994932876,19.971530124051,20.2552191707827,19.9750674196088,20.5835481633335,19.8137213540716,19.4269301107678,21.0347338921169,20.3636361305864,21.0741994367302,21.9142965606958,18.2813095258524,22.0141138866644,19.6849795137034,19.051312250142,20.9108796926341,18.4683502569882,18.364862874202,19.8928333729026,18.8896529214024,17.0494958462009,19.6102169658314,19.7503822427486,20.2924045851403,21.0639827431149,21.3922345380558,21.8496423135287,19.9674680252852,17.060057984805,20.0656122194937,18.1698559030395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9005651844926,17.1359715603221,12.9005651844926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-cytidylyluridine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2602725048787,16.3058087265355,18.3939826348988,19.0775963719806,19.1563970213129,19.1727538839128,16.6810989451389,17.0285186943676,19.4899316261343,17.1699742718565,18.7348288791742,14.2602725048787,18.0280806739608,17.2062157790366,17.8321392651133,18.2709834866581,18.5558709079198,18.5566710947578,17.6319609940389,17.2910939889634,15.1913163600187,19.1713306421824,14.2602725048787,18.6916918689605,17.5768528335566,17.5635893448335,17.0325763944243,17.7965255557086,17.4739334667019,17.6987333681999,16.7829447090623,17.4006413472722,16.944505077386,17.5485858714355,18.1137039159599,19.0444392019998,18.6069794806806,18.5086554849188,17.657029794536,18.0328951579467,17.8947158751573,18.4843077825519,18.828510328321,18.5175517784904,18.5251267620168,17.8426947093465,18.4511262602246,19.4545673924602,19.2878476930303,18.6983436213466,19.5537070159589,15.2623820188267,20.5296116949581,17.659026099576,16.6082487931423,18.0935865061036,17.301561931675,16.5107896593427,19.4841142623447,17.1896698804197,14.63626832262,18.0059319809716,19.7057157934743,19.6023551750017,18.91350827338,18.7359406694615,19.9389186026681,19.1001341062606,14.9024916200936,18.0648727765473,16.5408694945563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6105684664409,15.4973914648481,12.6105684664409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-guanylylcytidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5657882410886,17.9484446004667,19.0299824488787,18.9146779365547,19.4612976715296,19.3453321134883,17.776980905829,18.4053593451465,19.5303222712149,18.5992923630839,19.6262088674376,15.5657882410886,18.9792794013536,17.2591263573447,18.3348930821263,19.6871892826188,19.8706675720403,19.919086302243,18.1079738039385,18.1197938774561,15.5657882410886,18.9386477905742,15.5657882410886,18.0082837118201,18.5814615813128,18.5004774532506,18.4788303616932,17.1397709323322,18.1835724527646,18.4160739763121,18.7692351235278,18.7748383097745,18.6048423645567,17.8135947543912,19.1704379474273,19.6579430432878,18.7804515314446,18.6970492323309,18.4075392133404,18.9033148895221,19.2290448642435,19.0195832603931,19.7032093924224,19.2304787568707,20.0258341720046,19.0912854395682,19.8664934026151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-guanylyluridine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9954569265701,18.6506806112907,18.8071266917191,17.9992505244961,14.2284062294921,18.400439712645,16.2467992620519,15.3384136826343,17.6554769883011,16.5256636087371,14.7249682500203,18.1818348703133,16.9466107532552,14.2284062294921,17.4244950693081,17.5763625188039,18.2168076098426,17.1767677677049,17.8502650680005,18.3754135911165,17.7880164336991,14.2284062294921,14.2284062294921,15.1809791769976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-uridylylcytidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3125175360041,15.9225865785906,18.3047756239942,17.5417676758995,17.9521558461779,16.5138490416732,16.0161161971787,17.217470164327,17.1889445034125,17.1341658556721,17.6966336849564,15.3125175360041,18.0430535617462,16.7971148601002,17.6652185776838,18.0720595527661,18.0129837403824,17.8093458689253,17.4890742765928,17.6838696571404,15.3125175360041,17.3751400991833,15.3125175360041,16.960184707723,17.8118774985486,18.3212928713117,16.760005410155,17.6892091795103,17.5585341031841,18.0504104718438,16.6465360182963,17.6005913750522,16.6597923386666,16.7623066677298,17.4891522501492,18.3815182902258,17.0383757339454,16.1622802176415,15.3125175360041,18.1154743521588,17.9359523994164,17.5002172205035,18.0955201542302,17.3917982995644,18.9889653430572,18.2423251055267,17.5993233828289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9818527177379,14.5610121403786,12.9818527177379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(3'-5')-uridylyluridine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6099113183575,16.9088745606868,18.1240934750255,17.8855414709398,18.3371121241484,17.8863103590087,14.5085636714786,16.2957568822627,18.9158332595105,17.7225906954989,18.1738770153497,15.7049044413966,16.0666946304462,16.004325854225,17.0378070073775,16.8973868969096,17.5725592145655,17.5190839659671,14.5085636714786,14.8064727241654,14.5085636714786,14.5085636714786,14.5085636714786,14.6197629205534,16.4464577229341,17.4570318904836,16.1995602075476,14.5085636714786,16.1359103474983,16.2179722715905,14.5085636714786,16.2482999631913,16.0596102138445,16.2780992676237,14.5085636714786,16.2765932840729,15.6652260077896,15.778212471464,17.155101209248,15.925035031243,14.5085636714786,16.66646388561,17.5667392122125,17.1033587934251,18.6511105593072,18.1071660255375,17.7145862123602,20.2428924341717,19.8454614438724,20.070667312308,20.0231232855693,13.8836214121578,20.1417100441069,16.3294812236942,16.2844163763452,18.5072464281943,16.6015692993621,16.1269642731745,18.6744590498518,17.8292032924687,14.7629531322685,18.4383855029662,18.4825134404559,19.3186198218465,19.7012420949133,17.7534567417555,19.4289570535824,19.2028511966626,14.566356681707,17.2537847922986,13.8836214121578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9135161914164,14.1325945056546,12.9135161914164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
(N(1) + N(8))-acetylspermidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7474201732181,17.8251045597503,19.7912688579478,18.6243854832759,19.3419088694325,17.2629985018085,18.1068291758178,18.813078854473,20.3798356588238,20.7574627216416,19.9936460267318,20.7816697907118,18.6643461972639,20.0841630484679,19.441806398434,17.9292632621558,18.1578424074831,18.8678773291117,20.5227858563876,19.9334598218204,19.9287211898644,21.4370678223252,22.0364814819804,21.3963499315411,20.8670608552639,20.6725139876549,20.6432856625884,22.2779312999066,20.7584682587593,20.8497987903948,15.9046528175588,20.1771630547711,19.1796369688056,20.6580348562484,20.901739299499,21.1190633191225,19.7650237537856,19.2823294178794,19.6138475130367,19.5281519037172,19.910140064871,18.7084448162261,19.9300725403714,18.8207337654376,19.5266718133093,20.299790548953,15.9046528175588,20.4472740125537,20.2866163374839,20.402153491414,19.8551554922671,19.5192331640847,19.7954400508832,20.0636421367966,20.1641053874636,20.1260419394226,20.8058907683253,21.2140629746927,21.4436638614469,20.7449637498364,20.5315168171,20.7332545705234,20.9168037813559,20.7316417838869,20.5216910023967,19.886444886014,20.3228790984481,21.067340169295,20.3864745741341,20.7911213555282,20.8972157583149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6559317846819,19.9266889658619,21.3715230035769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
